,city_name,latitude,longitude,max temp,humidity,cloudiness,wind speed,country,date
80,Yar-Sale,66.8333,70.8333,3.79,96.0,91.0,10.83,RU,1617073621.0
81,Kapaa,22.0752,-159.319,73.4,88.0,90.0,12.66,US,1617073622.0
82,Vaini,-21.2,-175.2,82.4,83.0,75.0,8.05,TO,1617073622.0
83,Boddam,57.4667,-1.7833,55.0,82.0,0.0,5.75,GB,1617073623.0
84,Verkhnyaya Inta,65.9811,60.3094,32.34,98.0,100.0,14.38,RU,1617073623.0
85,Mae Chan,20.1467,99.8526,77.0,73.0,40.0,3.44,TH,1617073623.0
86,Geraldton,-28.7667,114.6,80.6,74.0,25.0,8.05,AU,1617073624.0
87,Makkah al Mukarramah,21.4267,39.8261,73.54,54.0,0.0,3.04,SA,1617073386.0
88,Saint George,37.1041,-113.5841,63.0,17.0,1.0,20.71,US,1617073624.0
89,Bredasdorp,-34.5322,20.0403,55.4,94.0,77.0,4.61,ZA,1617073463.0
90,Aklavik,68.2191,-135.0107,6.8,56.0,100.0,4.61,CA,1617073625.0
91,Khatanga,71.9667,102.5,-19.46,94.0,18.0,13.89,RU,1617073625.0
92,Beyneu,45.3167,55.2,35.02,68.0,6.0,4.88,KZ,1617073626.0
93,Albany,42.6001,-73.9662,35.01,54.0,0.0,3.83,US,1617073626.0
94,Gort,53.0664,-8.8167,50.0,87.0,40.0,10.36,IE,1617073626.0
95,Saint-Philippe,-21.3585,55.7679,77.0,69.0,0.0,6.91,RE,1617073627.0
96,Druzhinino,56.7895,59.5143,24.58,88.0,87.0,2.19,RU,1617073627.0
97,Perth,-31.9333,115.8333,82.0,69.0,20.0,9.22,AU,1617073530.0
98,Severo-Kuril'sk,50.6789,156.125,37.53,95.0,97.0,23.04,RU,1617073628.0
99,Hong Kong,22.2855,114.1577,84.0,84.0,18.0,5.99,HK,1617073628.0
100,Pascagoula,30.3658,-88.5561,55.99,94.0,1.0,4.97,US,1617073628.0
101,Puerto Colombia,10.9878,-74.9547,78.8,83.0,0.0,11.5,CO,1617073629.0
102,Katangli,51.7102,143.2326,32.79,99.0,100.0,5.59,RU,1617073629.0
103,Chokurdakh,70.6333,147.9167,5.32,92.0,93.0,3.69,RU,1617073629.0
104,San Andrés,12.5847,-81.7006,80.6,83.0,40.0,14.97,CO,1617073454.0
105,Diffa,13.3154,12.6113,70.47,19.0,0.0,12.39,NE,1617073630.0
106,Clyde River,70.4692,-68.5914,-5.8,77.0,90.0,19.57,CA,1617073630.0
